Song,Artist,Compound,Negative,Neutral,Positive,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
Crazy For You,Adele,-0.8585,0.171,0.712,0.117,52,False,0.707,0.139,7,-12.3,1,0.0507,0.91,0.0,0.105,0.323,85.868,british
Daydreamer,Adele,0.967,0.02,0.849,0.132,54,False,0.807,0.105,9,-13.188,1,0.0412,0.964,0.0,0.103,0.372,109.014,british
Hello,Adele,-0.7298,0.083,0.879,0.038,74,False,0.578,0.43,5,-6.134,0,0.0305,0.33,0.0,0.0854,0.288,78.991,british
I Miss You,Adele,-0.9657,0.128,0.807,0.066,60,False,0.382,0.578,5,-4.246,1,0.047,0.00982,1.44e-05,0.433,0.156,113.072,british
Melt My Heart To Stone,Adele,0.9934,0.066,0.715,0.218,52,False,0.353,0.388,11,-7.091,0,0.0366,0.346,0.0,0.215,0.19,80.67,british
Someone Like You,Adele,0.9647,0.173,0.61,0.217,57,False,0.439,0.207,1,-9.573,1,0.0297,0.608,0.0,0.186,0.264,136.514,acoustic
All Your Love,Aerosmith,0.9897,0.105,0.614,0.281,57,False,0.568,0.587,11,-8.814,0,0.127,0.293,0.329,0.137,0.491,174.682,garage
Falling In Love,Aerosmith,0.9327,0.21,0.558,0.232,68,False,0.472,0.27,7,-11.649,1,0.027,0.729,0.0158,0.125,0.373,140.673,ambient
Fever,Aerosmith,0.979,0.096,0.733,0.171,17,False,0.766,0.696,4,-7.859,0,0.128,0.0988,4.73e-05,0.557,0.521,107.977,afrobeat
I'm Ready,Aerosmith,0.9984,0.02,0.56,0.42,32,False,0.652,0.934,5,-3.89,1,0.0497,0.629,0.000377,0.327,0.971,85.845,blues
Lay It Down,Aerosmith,0.9877,0.051,0.783,0.165,50,False,0.413,0.537,7,-4.913,0,0.0311,0.316,4.52e-06,0.0771,0.118,77.661,dub
Love Me Two Times,Aerosmith,0.9987,0.023,0.556,0.421,65,False,0.684,0.698,9,-6.219,1,0.041,0.332,5.16e-06,0.122,0.839,132.846,psych-rock
Magic Touch,Aerosmith,0.9465,0.051,0.831,0.118,46,False,0.702,0.888,3,-4.946,0,0.0444,0.0256,4.25e-05,0.0927,0.644,123.955,trance
Make It,Aerosmith,0.2486,0.072,0.832,0.097,52,True,0.761,0.511,2,-8.373,1,0.158,0.085,0.0316,0.127,0.43,82.363,house
My Girl,Aerosmith,0.9925,0.034,0.773,0.193,79,False,0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566,funk
On The Road Again,Aerosmith,0.9926,0.0,0.777,0.223,51,False,0.496,0.156,9,-17.059,1,0.0419,0.777,0.0,0.232,0.205,129.524,psych-rock
Pandora's Box,Aerosmith,0.9457,0.065,0.784,0.152,68,False,0.785,0.807,0,-3.877,1,0.178,0.198,0.0,0.326,0.228,96.981,k-pop
Pink,Aerosmith,0.9733,0.033,0.777,0.191,63,False,0.432,0.751,0,-5.124,1,0.0423,0.0134,4.58e-06,0.126,0.776,171.85,hard-rock
Red House,Aerosmith,-0.8902,0.146,0.785,0.07,58,False,0.277,0.479,5,-8.483,0,0.0495,0.585,0.0224,0.16,0.483,53.905,psych-rock
Remember,Aerosmith,0.9621,0.121,0.701,0.178,17,False,0.619,0.69,5,-6.106,0,0.0776,0.0539,0.814,0.101,0.152,110.007,club
