Song,Artist,Compound,Negative,Neutral,Positive,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
I Saw The Light,Hank Williams Jr.,-0.4018,0.225,0.58,0.195,52,False,0.349,0.273,7,-11.443,1,0.0325,0.95,6.21e-05,0.146,0.493,204.922,honky-tonk
Lone Wolf,Hank Williams Jr.,-0.969,0.174,0.758,0.068,54,False,0.502,0.981,1,-1.573,1,0.0616,0.00177,0.4,0.154,0.208,150.013,dub
Promises,Hank Williams Jr.,-0.9941,0.267,0.631,0.101,56,False,0.484,0.943,9,-4.364,0,0.0647,3.77e-05,0.00452,0.593,0.345,143.933,drum-and-bass
Thanks A Lot,Hank Williams Jr.,0.9879,0.163,0.505,0.332,55,False,0.636,0.511,0,-14.016,1,0.0389,0.387,0.00035,0.211,0.769,167.37,honky-tonk
Christmas Time,Hanson,0.959,0.044,0.843,0.113,0,False,0.299,0.377,0,-7.425,1,0.0283,0.859,0.0,0.116,0.378,69.272,r-n-b
Hey,Hanson,0.9145,0.06,0.759,0.18,31,False,0.652,0.639,5,-8.577,1,0.458,0.153,0.0,0.381,0.633,89.984,hardcore
More Than Anything,Hanson,0.9674,0.017,0.824,0.16,46,False,0.125,0.214,4,-28.989,0,0.0413,0.991,0.94,0.133,0.0328,82.521,ambient
Need You Now,Hanson,0.5719,0.018,0.924,0.058,45,False,0.55,0.674,4,-5.248,1,0.0277,0.0881,0.0,0.0873,0.248,108.037,club
Never Let Go,Hanson,0.9925,0.073,0.713,0.214,19,False,0.438,0.975,6,-2.279,1,0.0453,0.00129,3.04e-05,0.304,0.13,149.919,hardstyle
One Way Ticket,Hanson,-0.8984,0.113,0.822,0.066,62,False,0.719,0.732,1,-9.227,0,0.0408,0.319,6.51e-06,0.0745,0.96,123.569,disco
Pick Me Up,Hanson,0.6331,0.045,0.882,0.073,0,False,0.472,0.701,2,-4.563,1,0.0369,0.0387,0.0,0.107,0.515,79.805,country
Teach Your Children,Hanson,0.9781,0.078,0.721,0.201,64,False,0.497,0.285,2,-14.537,1,0.0264,0.643,1.69e-05,0.389,0.667,154.707,blues
Weird,Hanson,0.8343,0.137,0.681,0.182,0,False,0.532,0.989,0,-4.025,0,0.101,0.000525,0.656,0.271,0.462,160.028,iranian
You Never Know,Hanson,-0.2856,0.051,0.902,0.047,66,False,0.527,0.462,5,-5.504,1,0.0494,0.227,0.0,0.164,0.334,144.573,k-pop
If I Were A Carpenter,Harry Belafonte,0.9743,0.078,0.729,0.193,29,False,0.421,0.476,9,-10.552,1,0.0295,0.626,2.58e-05,0.137,0.828,150.283,rock-n-roll
Skin To Skin,Harry Belafonte,-0.9851,0.151,0.786,0.062,38,False,0.549,0.478,11,-7.563,0,0.061,0.596,0.00357,0.0806,0.308,167.874,mandopop
The First Time Ever I Saw Your Face,Harry Belafonte,0.9726,0.053,0.789,0.158,0,False,0.422,0.0605,6,-18.861,1,0.0383,0.931,0.0569,0.111,0.0794,126.251,soul
Careless Love,"Harry Connick, Jr.",0.9929,0.099,0.57,0.331,36,False,0.701,0.419,1,-9.912,1,0.0397,0.828,0.0368,0.112,0.327,108.244,j-pop
It's Beginning To Look A Lot Like Christmas,"Harry Connick, Jr.",0.9869,0.0,0.816,0.184,0,False,0.653,0.308,2,-11.926,1,0.0474,0.636,0.0,0.0899,0.462,107.72,ska
More,"Harry Connick, Jr.",0.9718,0.047,0.783,0.17,13,False,0.66,0.835,8,-11.132,0,0.0487,0.000916,0.000589,0.129,0.483,114.331,breakbeat
My Prayer,"Harry Connick, Jr.",0.3612,0.027,0.936,0.037,53,False,0.359,0.272,10,-8.393,1,0.0294,0.812,0.0,0.095,0.254,109.249,rockabilly
On The Street Where You Live,"Harry Connick, Jr.",-0.6734,0.072,0.882,0.046,1,False,0.369,0.421,8,-10.346,1,0.0397,0.61,0.0,0.195,0.326,71.923,jazz
Once,"Harry Connick, Jr.",0.9795,0.072,0.701,0.228,15,False,0.499,0.929,9,-3.804,0,0.0398,3.17e-05,0.566,0.588,0.0356,174.992,drum-and-bass
Only You,"Harry Connick, Jr.",0.9812,0.029,0.724,0.247,56,False,0.545,0.255,8,-14.844,1,0.0311,0.362,1.77e-05,0.0841,0.831,98.088,acoustic
Supercalifragilisticexpialidocious,"Harry Connick, Jr.",0.5106,0.028,0.931,0.041,44,False,0.524,0.609,7,-13.03,0,0.401,0.607,0.0,0.126,0.948,80.232,show-tunes
The Little Drummer Boy,"Harry Connick, Jr.",0.9551,0.027,0.852,0.121,0,False,0.523,0.448,2,-13.53,1,0.0593,0.442,0.0,0.111,0.351,134.511,funk
All I Wanna Do Is Make Love To You,Heart,0.9987,0.02,0.702,0.278,67,False,0.626,0.746,7,-8.832,1,0.0282,0.16,0.0,0.0618,0.8,102.896,hard-rock
Barracuda,Heart,0.9295,0.077,0.758,0.165,74,False,0.548,0.691,4,-13.553,0,0.0369,0.015,0.106,0.144,0.667,137.145,hard-rock
Break,Heart,0.9398,0.076,0.795,0.13,67,False,0.578,0.897,0,-3.906,1,0.0357,0.000666,0.0,0.0924,0.737,115.491,grunge
Heavy Heart,Heart,-0.2387,0.076,0.858,0.067,0,False,0.451,0.7,10,-6.597,0,0.0431,0.455,0.00233,0.405,0.37,150.055,acoustic
It's Christmas Time,Heart,0.9555,0.021,0.834,0.146,0,False,0.637,0.711,5,-4.957,1,0.0338,0.0254,0.00169,0.134,0.299,94.995,funk
Rage,Heart,-0.9882,0.257,0.723,0.02,44,True,0.571,0.833,2,-4.493,1,0.222,0.056,0.374,0.145,0.394,150.188,dub
Say Hello,Heart,0.6804,0.041,0.855,0.104,51,False,0.745,0.766,0,-8.688,1,0.0335,0.0355,0.636,0.153,0.662,121.031,progressive-house
Secret,Heart,-0.6743,0.114,0.788,0.098,42,False,0.508,0.256,1,-13.302,1,0.0392,0.653,0.722,0.0797,0.624,171.02,guitar
The Night,Heart,-0.9698,0.137,0.846,0.018,0,False,0.132,0.42,4,-7.761,0,0.0368,0.209,0.00293,0.11,0.185,45.857,blues
The Wolf,Heart,0.1864,0.108,0.771,0.121,51,False,0.777,0.912,9,-4.746,1,0.186,0.0932,0.0,0.143,0.659,100.941,funk
Cold Sweat,Helloween,0.5742,0.076,0.834,0.089,23,False,0.537,0.619,7,-11.404,1,0.0339,0.101,0.887,0.582,0.897,119.222,afrobeat
I Can,Helloween,0.8672,0.163,0.631,0.206,59,False,0.837,0.885,6,-3.914,0,0.182,0.103,0.0,0.0666,0.694,95.313,hardcore
Juggernaut,Helloween,-0.9835,0.194,0.708,0.098,0,True,0.772,0.794,10,-3.22,0,0.0674,0.104,0.0,0.638,0.674,101.071,dancehall
Midnight Sun,Helloween,-0.8291,0.169,0.732,0.098,34,False,0.733,0.355,0,-11.854,1,0.0369,0.287,0.752,0.0895,0.216,80.972,study
My Sacrifice,Helloween,0.8934,0.14,0.657,0.203,71,False,0.32,0.88,2,-6.035,1,0.0504,0.000101,4.31e-06,0.076,0.257,146.349,alt-rock
Power,Helloween,0.9306,0.046,0.848,0.106,36,False,0.517,0.87,7,-6.138,1,0.0482,0.00125,0.811,0.632,0.208,95.027,club
Push,Helloween,0.4082,0.076,0.828,0.096,37,False,0.711,0.693,7,-7.394,0,0.0371,0.00954,0.0014,0.103,0.684,107.915,disco
Revolution,Helloween,-0.7181,0.152,0.725,0.123,67,False,0.574,0.833,8,-6.239,0,0.0563,0.0611,0.0,0.105,0.574,86.008,alt-rock
Always Will,Hillsong,0.965,0.088,0.701,0.211,22,False,0.45,0.186,0,-14.866,1,0.0393,0.932,0.85,0.12,0.886,95.845,bluegrass
Anchor,Hillsong,0.9908,0.022,0.658,0.319,75,False,0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,ambient
Best Friend,Hillsong,0.9886,0.0,0.78,0.22,4,True,0.959,0.598,8,-5.534,1,0.0713,0.0358,0.0,0.358,0.408,127.028,hip-hop
Evermore,Hillsong,0.9538,0.057,0.775,0.169,64,False,0.285,0.396,1,-8.741,1,0.0318,0.674,6.6e-05,0.102,0.219,79.442,disney
Glory,Hillsong,0.9829,0.028,0.679,0.293,60,False,0.564,0.613,11,-5.055,1,0.0318,0.111,3.22e-06,0.0825,0.48,84.951,alt-rock
Hosanna,Hillsong,0.9761,0.039,0.756,0.205,61,False,0.404,0.634,1,-4.772,0,0.0311,0.0371,0.00209,0.182,0.0943,153.951,alt-rock
Made Me Glad,Hillsong,0.9975,0.02,0.655,0.324,41,False,0.341,0.748,10,-5.559,1,0.0334,0.047,0.000529,0.396,0.326,161.714,world-music
Shout To The Lord,Hillsong,0.9887,0.045,0.71,0.245,40,False,0.338,0.371,9,-13.026,1,0.0334,0.705,0.0,0.334,0.244,159.633,world-music
Above All,Hillsong United,0.3818,0.124,0.735,0.142,45,False,0.374,0.291,10,-11.251,1,0.0305,0.723,0.000882,0.12,0.108,133.009,world-music
Aftermath,Hillsong United,0.8922,0.053,0.835,0.112,19,False,0.242,0.989,2,-4.362,1,0.107,0.000225,2.6e-05,0.155,0.195,169.955,black-metal
All Things New,Hillsong United,0.9926,0.059,0.666,0.276,36,False,0.369,0.637,11,-6.279,1,0.0299,0.0443,0.0,0.179,0.121,75.37,world-music
Bones,Hillsong United,0.9956,0.01,0.665,0.324,47,False,0.31,0.886,8,-4.917,1,0.318,0.000299,0.853,0.163,0.0387,179.888,drum-and-bass
Calvary,Hillsong United,0.8781,0.121,0.712,0.167,45,False,0.382,0.558,9,-6.471,1,0.0324,0.00355,0.0,0.167,0.215,136.575,world-music
Depths,Hillsong United,0.9944,0.011,0.71,0.279,37,False,0.363,0.462,7,-8.232,1,0.0284,0.00887,8.81e-06,0.706,0.0687,80.003,world-music
Empires,Hillsong United,0.2144,0.093,0.821,0.086,46,False,0.349,0.774,4,-6.312,1,0.0539,0.00187,0.000134,0.306,0.398,173.277,dub
Fall,Hillsong United,0.9949,0.0,0.574,0.426,55,False,0.688,0.845,7,-4.095,1,0.0436,0.0014,0.64,0.117,0.453,130.0,progressive-house
I Belong To You,Hillsong United,0.9951,0.022,0.573,0.405,32,False,0.588,0.405,5,-12.279,1,0.0327,0.304,0.00587,0.107,0.625,94.866,disco
Dark Light,HIM,-0.9062,0.266,0.58,0.154,52,False,0.665,0.714,6,-6.462,1,0.0377,0.00388,0.528,0.139,0.0353,105.068,house
Fade Into You,HIM,0.6908,0.091,0.79,0.118,79,False,0.42,0.33,9,-13.925,1,0.0275,0.245,0.000679,0.0677,0.175,157.143,alt-rock
Motor,HIM,0.9037,0.116,0.666,0.218,38,False,0.335,0.559,4,-5.554,1,0.0283,0.202,0.011,0.114,0.123,59.704,hard-rock
No Love,HIM,0.9866,0.194,0.486,0.319,62,True,0.716,0.553,1,-10.229,1,0.139,0.109,0.000214,0.106,0.217,112.264,chill
Pretending,HIM,0.9881,0.076,0.683,0.241,44,False,0.477,0.687,9,-5.721,1,0.0468,0.291,0.0,0.118,0.421,167.947,club
Resurrection,HIM,0.988,0.013,0.782,0.205,43,False,0.622,0.778,2,-10.705,1,0.0471,0.0548,0.865,0.111,0.206,125.995,club
Take My Breath Away,HIM,0.9251,0.062,0.824,0.114,65,False,0.718,0.616,8,-6.598,1,0.0901,0.0741,0.00287,0.367,0.354,102.981,electro
I Shall Be Released,Hollies,-0.2117,0.025,0.955,0.02,2,False,0.38,0.379,9,-12.742,1,0.0346,0.807,0.0164,0.0908,0.399,120.89,blues
It's Only Make Believe,Hollies,0.9946,0.024,0.663,0.313,35,False,0.419,0.382,9,-13.438,1,0.0322,0.32,0.0,0.106,0.462,84.185,british
My Back Pages,Hollies,-0.9846,0.206,0.705,0.089,55,False,0.558,0.524,4,-10.528,1,0.0339,0.109,0.0,0.17,0.727,123.243,psych-rock
No Rules,Hollies,-0.9336,0.258,0.666,0.076,37,True,0.678,0.992,10,-0.644,0,0.096,0.123,0.709,0.629,0.761,150.07,dub
Nobody,Hollies,0.9797,0.076,0.667,0.256,46,False,0.86,0.479,1,-7.871,1,0.0366,0.265,0.0,0.112,0.962,105.023,chill
Rockin' Robin,Hollies,0.9845,0.0,0.892,0.108,47,False,0.549,0.686,7,-10.313,1,0.136,0.291,0.0,0.201,0.926,172.601,blues
Blue Wonder Power Milk,Hooverphonic,0.9787,0.021,0.774,0.205,18,False,0.568,0.904,0,-6.901,1,0.0979,0.133,0.152,0.122,0.595,127.681,trip-hop
Jackie Cane,Hooverphonic,0.1941,0.057,0.879,0.064,17,False,0.474,0.825,10,-5.75,1,0.0295,0.00527,0.00108,0.163,0.85,171.53,trip-hop
Mad About You,Hooverphonic,-0.9989,0.42,0.516,0.063,61,False,0.465,0.844,1,-4.352,0,0.0379,0.00109,0.399,0.0865,0.155,170.358,electronic
Opium,Hooverphonic,0.8773,0.164,0.61,0.225,16,False,0.664,0.702,5,-6.98,0,0.0353,0.0014,0.49,0.0916,0.0862,130.055,happy
Bow Down,Housemartins,-0.514,0.088,0.845,0.067,55,True,0.892,0.455,9,-11.206,1,0.292,0.0181,0.0,0.344,0.473,92.885,hardcore
All I Want,Howard Jones,-0.8053,0.179,0.683,0.137,5,False,0.804,0.647,4,-11.555,0,0.0705,0.00447,0.408,0.0733,0.399,119.384,chicago-house
Blue,Howard Jones,0.9579,0.092,0.763,0.146,0,False,0.488,0.175,8,-9.5,1,0.0491,0.952,1.01e-06,0.105,0.201,117.291,country
No One Is To Blame,Howard Jones,-0.9875,0.229,0.703,0.068,24,False,0.777,0.375,9,-11.13,1,0.0276,0.509,0.000437,0.178,0.669,95.092,synth-pop
Spectrum,Howard Jones,-0.8055,0.162,0.755,0.084,54,False,0.539,0.717,3,-7.385,1,0.031,0.000298,0.111,0.125,0.212,117.973,acoustic
Things Can Only Get Better,Howard Jones,0.9955,0.085,0.531,0.384,23,False,0.752,0.743,7,-6.083,1,0.0331,0.0314,0.000117,0.128,0.832,108.254,synth-pop
Wedding Song,Howard Jones,0.9929,0.022,0.731,0.247,0,False,0.426,0.491,0,-9.864,1,0.034,0.641,0.00127,0.25,0.276,137.438,disco
All I Ever Wanted,Human League,0.9854,0.051,0.826,0.123,46,False,0.781,0.63,2,-9.768,0,0.0628,0.00755,0.792,0.11,0.365,123.021,deep-house
Darkness,Human League,-0.9559,0.175,0.749,0.076,49,False,0.638,0.637,2,-10.727,1,0.0332,0.0429,0.752,0.11,0.0664,95.989,club
Never Let Me Go,Human League,0.9091,0.053,0.851,0.095,66,False,0.452,0.736,9,-3.212,1,0.0378,0.297,2.2e-06,0.381,0.24,144.683,alternative
The Snake,Human League,0.9954,0.019,0.828,0.153,32,False,0.434,0.822,1,-7.785,0,0.0671,4.74e-05,0.853,0.135,0.109,134.888,metal
The Sound Of The Crowd,Human League,0.9062,0.062,0.804,0.134,23,False,0.781,0.38,7,-12.077,1,0.0492,0.0821,1.01e-06,0.0887,0.548,144.887,synth-pop
American Music,Ian Hunter,0.992,0.015,0.769,0.215,29,False,0.448,0.873,4,-10.266,1,0.0545,0.00873,2.88e-05,0.347,0.968,192.572,rock-n-roll
God,Ian Hunter,0.9911,0.082,0.751,0.167,10,False,0.67,0.981,1,-5.404,0,0.0787,0.0143,0.254,0.362,0.901,157.034,idm
The Outsider,Ian Hunter,-0.9344,0.103,0.865,0.032,49,False,0.681,0.838,0,-6.538,1,0.0797,0.0874,0.49,0.348,0.456,112.608,afrobeat
Too Much,Ian Hunter,-0.8492,0.146,0.766,0.088,0,True,0.799,0.696,1,-6.621,1,0.134,0.211,2.46e-06,0.133,0.414,115.067,alternative
Us,Ice Cube,-0.9838,0.139,0.775,0.086,57,False,0.584,0.888,4,-2.571,0,0.0385,0.0115,0.000113,0.341,0.331,150.042,electronic
You Know How We Do It,Ice Cube,0.9841,0.118,0.72,0.162,79,True,0.747,0.52,10,-10.523,0,0.0357,0.0977,0.0537,0.142,0.601,92.869,funk
Brave,Idina Menzel,0.5299,0.077,0.844,0.079,70,False,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,acoustic
Gorgeous,Idina Menzel,0.986,0.093,0.739,0.169,61,False,0.826,0.538,2,-7.717,1,0.0361,0.39,0.228,0.163,0.344,115.99,electronic
Heaven Help My Heart,Idina Menzel,0.9962,0.052,0.618,0.33,23,False,0.266,0.167,2,-16.83,1,0.0506,0.869,5.03e-05,0.699,0.163,100.106,show-tunes
No Good Deed,Idina Menzel,0.9407,0.15,0.659,0.191,26,False,0.352,0.546,11,-6.768,1,0.0384,0.71,0.0,0.105,0.274,114.814,show-tunes
1969,Iggy Pop,0.8825,0.0,0.871,0.129,25,False,0.575,0.4,3,-7.674,1,0.0598,0.000348,0.00263,0.0536,0.0724,110.199,garage
Bang Bang,Iggy Pop,0.9183,0.073,0.784,0.142,17,True,0.728,0.626,0,-11.613,0,0.0341,0.00511,0.000111,0.174,0.841,150.006,breakbeat
Blah Blah Blah,Iggy Pop,0.3687,0.126,0.626,0.248,66,False,0.612,0.963,5,-3.912,0,0.0531,0.00897,0.00378,0.294,0.179,138.009,edm
Brick By Brick,Iggy Pop,0.6669,0.121,0.722,0.157,53,False,0.285,0.807,2,-4.741,1,0.0528,0.00123,0.00368,0.317,0.542,132.206,garage
Cold Metal,Iggy Pop,0.9136,0.104,0.735,0.161,22,False,0.509,0.604,7,-8.47,1,0.0332,0.0161,0.000589,0.0933,0.322,128.039,goth
Girls,Iggy Pop,0.9902,0.029,0.704,0.266,44,False,0.663,0.961,1,-4.737,0,0.0653,0.000119,0.432,0.195,0.537,124.701,breakbeat
High On You,Iggy Pop,0.1119,0.099,0.799,0.102,42,False,0.798,0.549,4,-10.646,0,0.0474,0.134,0.000145,0.119,0.419,120.05,deep-house
Howl,Iggy Pop,0.1263,0.105,0.776,0.12,1,False,0.577,0.866,0,-4.05,1,0.0601,0.006,0.000708,0.164,0.28,130.016,alternative
I Wanna Be Your Dog,Iggy Pop,0.9795,0.035,0.749,0.216,0,False,0.541,0.913,4,-8.03,1,0.0359,0.0681,0.0521,0.414,0.113,120.634,blues
Loser,Iggy Pop,-0.9872,0.204,0.764,0.032,22,False,0.494,0.267,2,-13.019,1,0.0321,0.577,0.033,0.101,0.367,151.536,bluegrass
Mask,Iggy Pop,-0.7399,0.126,0.773,0.101,23,False,0.499,0.96,6,-3.847,1,0.0728,0.000878,0.0,0.388,0.474,109.96,death-metal
Shakin' All Over,Iggy Pop,0.3612,0.0,0.97,0.03,32,False,0.767,0.626,9,-8.408,1,0.036,0.188,1.03e-05,0.327,0.715,125.237,british
Social Life,Iggy Pop,-0.9773,0.176,0.75,0.073,23,False,0.347,0.979,7,-3.828,1,0.0688,2.61e-05,0.00186,0.19,0.467,199.901,power-pop
The Passenger,Iggy Pop,0.9778,0.0,0.905,0.095,60,False,0.457,0.93,2,-4.544,0,0.0673,0.0309,6.27e-05,0.135,0.294,139.819,goth
Tonight,Il Divo,0.5106,0.054,0.865,0.08,22,False,0.631,0.905,0,-4.503,1,0.0568,0.102,0.000137,0.327,0.515,138.964,goth
Wasted Time,Il Divo,-0.9679,0.138,0.792,0.07,13,False,0.296,0.995,4,-2.521,0,0.121,2.46e-05,0.929,0.386,0.0707,97.319,grindcore
Battle Cry,Imagine Dragons,-0.968,0.265,0.562,0.173,22,True,0.867,0.487,7,-9.212,1,0.115,0.231,0.0,0.0872,0.204,100.104,j-dance
Monster,Imagine Dragons,-0.9124,0.112,0.811,0.077,77,False,0.64,0.957,8,-2.336,1,0.0741,0.0431,0.0,0.0789,0.692,134.992,alt-rock
Warriors,Imagine Dragons,0.9772,0.0,0.881,0.119,51,False,0.569,0.924,7,-3.433,0,0.074,0.00698,0.000464,0.426,0.0455,127.91,progressive-house
Always There,Incognito,0.9865,0.055,0.635,0.31,18,False,0.605,0.792,10,-5.503,0,0.044,0.000803,0.709,0.0484,0.405,175.994,breakbeat
Anything,Incubus,0.3818,0.0,0.968,0.032,40,False,0.57,0.789,1,-4.534,1,0.0403,0.25,0.143,0.112,0.564,102.012,disney
Dig,Incubus,0.9819,0.031,0.84,0.13,64,False,0.623,0.983,11,-3.548,0,0.151,9.62e-05,0.0617,0.261,0.271,134.975,groove
Pardon Me,Incubus,0.9828,0.058,0.759,0.183,69,False,0.579,0.812,1,-6.509,0,0.0693,0.00114,0.00333,0.115,0.278,152.002,grunge
Teardrop,Incubus,0.9914,0.067,0.568,0.365,0,False,0.615,0.419,11,-8.799,0,0.0396,0.0173,0.505,0.135,0.216,76.996,electronic
The Answer,Incubus,-0.9501,0.153,0.756,0.091,14,False,0.797,0.229,9,-13.059,0,0.13,0.000133,0.936,0.0778,0.663,133.989,detroit-techno
Heaven On Earth,Indiana Bible College,0.9975,0.0,0.626,0.374,28,False,0.471,0.328,3,-10.358,1,0.0301,0.529,0.0,0.124,0.579,111.946,rockabilly
Right Now,Indiana Bible College,0.9678,0.04,0.797,0.163,11,False,0.816,0.701,2,-5.911,1,0.368,0.126,0.0,0.29,0.734,93.963,breakbeat
Testimony,Indiana Bible College,0.9943,0.14,0.562,0.298,60,False,0.428,0.0145,2,-31.154,1,0.047,0.994,0.895,0.0881,0.345,128.522,piano
Void,Indiana Bible College,0.1428,0.114,0.794,0.091,68,False,0.534,0.582,5,-7.912,1,0.0401,0.047,0.0328,0.0883,0.346,84.183,alt-rock
Blister In The Sun,Indigo Girls,-0.6486,0.077,0.874,0.05,71,False,0.726,0.537,0,-8.896,1,0.114,0.316,0.0,0.0707,0.882,96.889,acoustic
Compromise,Indigo Girls,0.9751,0.0,0.843,0.157,11,False,0.303,0.971,6,-4.53,0,0.212,5.46e-06,0.563,0.336,0.0635,113.75,grindcore
Drift Away,Indigo Girls,0.9824,0.093,0.729,0.178,1,False,0.584,0.66,11,-5.078,1,0.0375,0.18,0.0,0.0979,0.868,151.958,country
Fare Thee Well,Indigo Girls,0.995,0.084,0.664,0.252,51,False,0.431,0.371,7,-8.709,1,0.0272,0.547,0.0154,0.0921,0.196,66.853,grunge
Girls Talk,Indigo Girls,0.9044,0.051,0.817,0.132,25,False,0.588,0.513,2,-17.406,1,0.033,0.318,0.0,0.168,0.965,136.314,power-pop
Go Go Go,Indigo Girls,-0.6808,0.095,0.835,0.07,5,False,0.881,0.327,11,-15.568,1,0.119,0.000202,0.0693,0.0994,0.459,89.994,chicago-house
High Horse,Indigo Girls,0.9532,0.056,0.837,0.108,56,False,0.492,0.961,2,-3.943,1,0.0957,3.14e-05,0.00315,0.122,0.324,129.988,metalcore
It's Too Late,Indigo Girls,0.9646,0.12,0.679,0.2,25,False,0.521,0.88,4,-11.238,1,0.0448,0.136,4.88e-05,0.346,0.482,127.932,power-pop
Killing Time,Indigo Girls,-0.9945,0.212,0.711,0.077,26,False,0.544,0.931,1,-5.519,0,0.128,0.00207,1.12e-05,0.034,0.324,90.814,industrial
Reunion,Indigo Girls,-0.5883,0.177,0.652,0.171,49,False,0.427,0.823,7,-4.997,1,0.0466,6e-05,0.000129,0.127,0.311,124.024,french
Something Real,Indigo Girls,0.8084,0.042,0.888,0.07,57,False,0.519,0.61,8,-10.808,1,0.0608,0.458,0.151,0.191,0.184,119.919,electronic
Afterlife,Ingrid Michaelson,0.9633,0.068,0.811,0.121,63,False,0.561,0.866,2,-5.258,0,0.0352,0.00623,0.039,0.0414,0.824,93.104,alt-rock
End Of The World,Ingrid Michaelson,0.4515,0.014,0.961,0.026,40,False,0.278,0.421,1,-9.388,0,0.0341,0.377,0.000784,0.0763,0.308,82.071,psych-rock
Far Away,Ingrid Michaelson,0.9684,0.008,0.897,0.096,73,False,0.518,0.797,6,-5.153,1,0.0309,0.000681,0.0,0.107,0.293,132.918,alt-rock
Girls Chase Boys,Ingrid Michaelson,-0.9775,0.105,0.839,0.056,56,False,0.518,0.828,8,-5.725,1,0.04,0.03,1.33e-05,0.0456,0.69,84.835,acoustic
Giving Up,Ingrid Michaelson,0.9595,0.059,0.75,0.192,0,False,0.427,0.23,4,-11.317,1,0.0353,0.764,1.6e-06,0.327,0.109,83.219,funk
Glass,Ingrid Michaelson,0.7569,0.062,0.817,0.12,57,False,0.472,0.291,9,-13.512,0,0.0433,0.958,0.569,0.106,0.0701,113.011,chill
Highway,Ingrid Michaelson,-0.8336,0.113,0.865,0.022,59,False,0.457,0.941,6,-5.174,1,0.0339,0.000136,3.12e-06,0.0896,0.704,154.038,blues
Masochist,Ingrid Michaelson,-0.8836,0.139,0.805,0.056,58,True,0.49,0.941,3,-3.242,0,0.0495,0.000634,1.16e-05,0.101,0.264,119.998,hardcore
Overboard,Ingrid Michaelson,0.886,0.022,0.916,0.062,58,True,0.756,0.533,11,-8.303,1,0.0416,0.24,0.0,0.111,0.636,101.998,sad
Snowfall,Ingrid Michaelson,0.9952,0.0,0.65,0.35,1,True,0.775,0.685,11,-5.863,0,0.253,0.626,0.0,0.096,0.785,143.036,french
Deja Vu,Inna,-0.9987,0.48,0.486,0.035,13,False,0.545,0.691,4,-14.343,0,0.0309,0.247,0.828,0.107,0.103,99.953,chicago-house
On And On,Inna,-0.7345,0.065,0.935,0.0,60,False,0.53,0.727,1,-5.179,0,0.0441,0.0387,0.0,0.212,0.385,76.943,alt-rock
Confessions,Insane Clown Posse,-0.9915,0.169,0.78,0.05,43,False,0.561,0.942,4,-3.384,0,0.266,0.0516,4.95e-06,0.372,0.55,90.974,dubstep
Cotton Candy,Insane Clown Posse,-0.9958,0.16,0.782,0.058,54,False,0.606,0.275,10,-10.004,1,0.0288,0.39,0.0,0.135,0.19,81.041,chill
Intro,Insane Clown Posse,0.957,0.062,0.816,0.122,19,True,0.146,0.993,9,-3.506,1,0.091,1.4e-06,0.91,0.266,0.502,190.151,black-metal
Let Me Go,Insane Clown Posse,-0.9831,0.163,0.724,0.113,40,False,0.764,0.595,1,-9.233,0,0.0441,0.0224,0.00178,0.109,0.371,121.018,club
Innocence,Inside Out,0.99,0.051,0.741,0.208,45,False,0.373,0.734,7,-5.707,0,0.0658,0.00128,0.356,0.0868,0.0678,137.233,drum-and-bass
Sacrifice,Inside Out,0.163,0.151,0.705,0.144,16,False,0.823,0.518,1,-14.343,0,0.0489,0.00278,0.000147,0.099,0.588,116.645,chicago-house
Squirrels,Inside Out,0.9872,0.068,0.607,0.325,24,False,0.611,0.508,9,-10.434,1,0.0306,0.866,0.163,0.118,0.773,95.187,bluegrass
Afterglow,INXS,-0.9489,0.098,0.885,0.017,33,False,0.711,0.168,0,-16.504,1,0.0367,0.868,1.99e-05,0.114,0.299,109.937,acoustic
Disappear,INXS,-0.7309,0.141,0.754,0.105,22,True,0.436,0.91,10,-4.872,0,0.151,0.000139,0.029,0.185,0.168,154.744,death-metal
Horizons,INXS,0.9423,0.028,0.794,0.177,18,False,0.55,0.754,6,-6.213,1,0.0488,0.137,0.0459,0.201,0.239,161.074,drum-and-bass
Jumping,INXS,-0.1546,0.049,0.91,0.041,11,False,0.957,0.372,10,-9.42,1,0.0876,0.206,0.00101,0.141,0.349,110.986,kids
Lately,INXS,0.9883,0.03,0.778,0.193,29,False,0.781,0.686,11,-8.284,1,0.0394,0.00126,0.863,0.0854,0.0387,126.014,deep-house
Never Let You Go,INXS,0.8979,0.018,0.922,0.059,66,False,0.726,0.499,1,-9.056,1,0.0379,0.0921,0.0,0.0717,0.465,114.9,singer-songwriter
This Time,INXS,0.9523,0.105,0.701,0.194,31,False,0.498,0.72,7,-9.238,1,0.0298,0.312,0.00505,0.247,0.899,148.953,bluegrass
What You Need,INXS,-0.8,0.115,0.845,0.04,53,False,0.519,0.264,0,-11.171,1,0.0601,0.918,0.000253,0.237,0.192,140.354,acoustic
Hallowed Be Thy Name,Iron Maiden,0.7543,0.104,0.78,0.116,51,False,0.428,0.972,2,-1.998,0,0.0666,7.16e-05,0.0736,0.0787,0.225,118.306,black-metal
